Time,Price
2017/6/30,275.62 
2017/6/29,285.30 
2017/6/28,311.62 
2017/6/27,279.00 
2017/6/26,251.30 
2017/6/25,277.00 
2017/6/24,296.89 
2017/6/23,324.37 
2017/6/22,320.94 
2017/6/21,321.66 
2017/6/20,344.15 
2017/6/19,355.50 
2017/6/18,348.88 
2017/6/17,364.56 
2017/6/16,348.44 
2017/6/15,338.70 
2017/6/14,335.95 
2017/6/13,382.70 
2017/6/12,386.90 
2017/6/11,336.33 
2017/6/10,325.88 
2017/6/9,278.41 
2017/6/8,256.95 
2017/6/7,250.70 
2017/6/6,261.89 
2017/6/5,242.16 
2017/6/4,241.06 
2017/6/3,217.01 
2017/6/2,214.77 
2017/6/1,211.40 
2017/5/31,218.34 
2017/5/30,224.69 
2017/5/29,189.99 
2017/5/28,161.91 
2017/5/27,149.99 
2017/5/26,152.80 
2017/5/25,168.71 
2017/5/24,183.88 
2017/5/23,168.24 
2017/5/22,154.92 
2017/5/21,146.14 
2017/5/20,123.03 
2017/5/19,124.40 
2017/5/18,98.60 
2017/5/17,89.67 
2017/5/16,88.17 
2017/5/15,92.56 
2017/5/14,90.37 
2017/5/13,89.90 
2017/5/12,86.99 
2017/5/11,89.38 
2017/5/10,88.33 
2017/5/9,88.94 
2017/5/8,88.97 
2017/5/7,94.21 
2017/5/6,96.65 
2017/5/5,91.50 
2017/5/4,99.20 
2017/5/3,85.79 
2017/5/2,82.01 
2017/5/1,81.40 
2017/4/30,83.51 
2017/4/29,73.55 
2017/4/28,76.00 
2017/4/27,68.00 
2017/4/26,57.31 
2017/4/25,53.90 
2017/4/24,53.54 
2017/4/23,53.33 
2017/4/22,52.15 
2017/4/21,51.37 
2017/4/20,51.96 
2017/4/19,49.66 
2017/4/18,52.42 
2017/4/17,49.52 
2017/4/16,49.58 
2017/4/15,49.71 
2017/4/14,48.50 
2017/4/13,50.65 
2017/4/12,46.85 
2017/4/11,44.21 
2017/4/10,44.17 
2017/4/9,43.94 
2017/4/8,44.51 
2017/4/7,42.25 
2017/4/6,43.11 
2017/4/5,45.35 
2017/4/4,44.41 
2017/4/3,44.28 
2017/4/2,48.60 
2017/4/1,50.59 
2017/3/31,49.72 
2017/3/30,51.62 
2017/3/29,52.88 
2017/3/28,50.16 
2017/3/27,48.93 
2017/3/26,50.46 
2017/3/25,50.75 
